i	j	spin[i][j]
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
0	8	0
0	9	0
0	10	0
0	11	0
0	12	0
0	13	0
0	14	0
0	15	0
0	16	0
0	17	0
0	18	0
0	19	0
0	20	0
0	21	0
0	22	0
0	23	0
0	24	0
0	25	0
0	26	0
0	27	0
0	28	0
0	29	0
0	30	0
0	31	0
0	32	0
0	33	0
0	34	0
0	35	0
0	36	0
0	37	0
0	38	0
0	39	0
0	40	0
0	41	0
0	42	0
0	43	0
0	44	0
0	45	0
0	46	0
0	47	0
0	48	0
0	49	0
0	50	0
0	51	0
0	52	0
0	53	0
0	54	0
0	55	0
0	56	0
0	57	0
0	58	0
0	59	0
0	60	0
0	61	0
0	62	0
0	63	0
0	64	0
0	65	0
0	66	0
0	67	0
0	68	0
0	69	0
0	70	0
0	71	0
0	72	0
0	73	0
0	74	0
0	75	0
0	76	0
0	77	0
0	78	0
0	79	0
0	80	0
0	81	0
0	82	0
0	83	0
0	84	0
0	85	0
0	86	0
0	87	0
0	88	0
0	89	0
0	90	0
0	91	0
0	92	0
0	93	0
0	94	0
0	95	0
0	96	0
0	97	0
0	98	0
0	99	0
0	100	0
0	101	0
0	102	0
0	103	0
0	104	0
0	105	0
0	106	0
0	107	0
0	108	0
0	109	0
0	110	0
0	111	0
0	112	0
0	113	0
0	114	0
0	115	0
0	116	0
0	117	0
0	118	0
0	119	0
0	120	0
0	121	0
0	122	0
0	123	0
0	124	0
0	125	0
0	126	0
0	127	0
0	128	0
0	129	0
1	0	0
1	46	1
1	47	1
1	48	1
1	49	1
1	50	1
1	51	1
1	52	1
1	53	1
1	54	1
1	55	1
1	56	1
1	57	1
1	58	1
1	59	1
1	60	1
1	61	1
1	62	1
1	63	1
1	64	1
1	65	1
1	66	1
1	67	1
1	68	1
1	69	1
1	70	1
1	71	1
1	72	1
1	73	1
1	74	1
1	75	1
1	76	1
1	77	1
1	129	0
2	0	0
2	46	1
2	47	1
2	48	1
2	49	1
2	50	1
2	51	1
2	52	1
2	53	1
2	54	1
2	55	1
2	56	1
2	57	1
2	58	1
2	59	1
2	60	1
2	61	1
2	62	1
2	63	1
2	64	1
2	65	1
2	66	1
2	67	1
2	68	1
2	69	1
2	70	1
2	71	1
2	72	1
2	73	1
2	74	1
2	75	1
2	76	1
2	77	1
2	129	0
3	0	0
3	46	1
3	47	1
3	48	1
3	49	1
3	50	1
3	51	1
3	52	1
3	53	1
3	54	1
3	55	1
3	56	1
3	57	1
3	58	1
3	59	1
3	60	1
3	61	1
3	62	1
3	63	1
3	64	1
3	65	1
3	66	1
3	67	1
3	68	1
3	69	1
3	70	1
3	71	1
3	72	1
3	73	1
3	74	1
3	75	1
3	76	1
3	77	1
3	78	1
3	129	0
4	0	0
4	47	1
4	48	1
4	49	1
4	50	1
4	51	1
4	52	1
4	53	1
4	54	1
4	55	1
4	56	1
4	57	1
4	58	1
4	59	1
4	60	1
4	61	1
4	62	1
4	63	1
4	64	1
4	65	1
4	66	1
4	67	1
4	68	1
4	69	1
4	70	1
4	71	1
4	72	1
4	73	1
4	74	1
4	75	1
4	76	1
4	77	1
4	78	1
4	129	0
5	0	0
5	48	1
5	49	1
5	50	1
5	51	1
5	52	1
5	53	1
5	54	1
5	55	1
5	56	1
5	57	1
5	58	1
5	59	1
5	60	1
5	61	1
5	62	1
5	63	1
5	64	1
5	65	1
5	66	1
5	67	1
5	68	1
5	69	1
5	70	1
5	71	1
5	72	1
5	73	1
5	74	1
5	75	1
5	76	1
5	77	1
5	78	1
5	129	0
6	0	0
6	48	1
6	49	1
6	50	1
6	51	1
6	52	1
6	53	1
6	54	1
6	55	1
6	56	1
6	57	1
6	58	1
6	59	1
6	60	1
6	61	1
6	62	1
6	63	1
6	64	1
6	65	1
6	66	1
6	67	1
6	68	1
6	69	1
6	70	1
6	71	1
6	72	1
6	73	1
6	74	1
6	75	1
6	76	1
6	77	1
6	78	1
6	79	1
6	129	0
7	0	0
7	50	1
7	51	1
7	52	1
7	53	1
7	54	1
7	55	1
7	56	1
7	57	1
7	58	1
7	59	1
7	60	1
7	61	1
7	62	1
7	63	1
7	64	1
7	65	1
7	66	1
7	67	1
7	68	1
7	69	1
7	70	1
7	71	1
7	72	1
7	73	1
7	74	1
7	75	1
7	76	1
7	77	1
7	78	1
7	79	1
7	80	1
7	81	1
7	82	1
7	83	1
7	84	1
7	85	1
7	129	0
8	0	0
8	50	1
8	51	1
8	52	1
8	53	1
8	54	1
8	55	1
8	56	1
8	57	1
8	58	1
8	59	1
8	60	1
8	61	1
8	62	1
8	63	1
8	64	1
8	65	1
8	66	1
8	67	1
8	68	1
8	69	1
8	70	1
8	71	1
8	72	1
8	73	1
8	74	1
8	75	1
8	76	1
8	77	1
8	78	1
8	79	1
8	80	1
8	81	1
8	82	1
8	83	1
8	84	1
8	85	1
8	86	1
8	129	0
9	0	0
9	50	1
9	51	1
9	52	1
9	53	1
9	54	1
9	55	1
9	56	1
9	57	1
9	58	1
9	59	1
9	60	1
9	61	1
9	62	1
9	63	1
9	64	1
9	65	1
9	66	1
9	67	1
9	68	1
9	69	1
9	70	1
9	71	1
9	72	1
9	73	1
9	74	1
9	75	1
9	76	1
9	77	1
9	78	1
9	79	1
9	80	1
9	81	1
9	82	1
9	83	1
9	84	1
9	85	1
9	86	1
9	129	0
10	0	0
10	50	1
10	51	1
10	52	1
10	53	1
10	54	1
10	55	1
10	56	1
10	57	1
10	58	1
10	59	1
10	60	1
10	61	1
10	62	1
10	63	1
10	64	1
10	65	1
10	66	1
10	67	1
10	68	1
10	69	1
10	70	1
10	71	1
10	72	1
10	73	1
10	74	1
10	75	1
10	76	1
10	77	1
10	78	1
10	79	1
10	80	1
10	81	1
10	82	1
10	83	1
10	84	1
10	85	1
10	86	1
10	129	0
11	0	0
11	52	1
11	53	1
11	54	1
11	55	1
11	56	1
11	57	1
11	58	1
11	59	1
11	60	1
11	61	1
11	62	1
11	63	1
11	64	1
11	65	1
11	66	1
11	67	1
11	68	1
11	69	1
11	70	1
11	71	1
11	72	1
11	73	1
11	74	1
11	75	1
11	76	1
11	77	1
11	78	1
11	79	1
11	80	1
11	81	1
11	82	1
11	83	1
11	84	1
11	85	1
11	86	1
11	129	0
12	0	0
12	54	1
12	55	1
12	56	1
12	57	1
12	58	1
12	59	1
12	60	1
12	61	1
12	62	1
12	63	1
12	64	1
12	65	1
12	66	1
12	67	1
12	68	1
12	69	1
12	70	1
12	71	1
12	72	1
12	73	1
12	74	1
12	75	1
12	76	1
12	77	1
12	78	1
12	79	1
12	80	1
12	81	1
12	82	1
12	83	1
12	84	1
12	85	1
12	86	1
12	129	0
13	0	0
13	54	1
13	55	1
13	56	1
13	57	1
13	58	1
13	59	1
13	60	1
13	61	1
13	62	1
13	63	1
13	64	1
13	65	1
13	66	1
13	67	1
13	68	1
13	69	1
13	70	1
13	71	1
13	72	1
13	73	1
13	74	1
13	75	1
13	76	1
13	77	1
13	78	1
13	79	1
13	80	1
13	81	1
13	82	1
13	83	1
13	84	1
13	85	1
13	86	1
13	87	1
13	88	1
13	89	1
13	90	1
13	91	1
13	92	1
13	93	1
13	94	1
13	95	1
13	129	0
14	0	0
14	60	1
14	61	1
14	62	1
14	63	1
14	64	1
14	65	1
14	66	1
14	67	1
14	68	1
14	69	1
14	70	1
14	71	1
14	72	1
14	73	1
14	74	1
